feature,importance_mean,importance_std
FS2_M,0.05135951661631416,0.003168606792054844
PS3_S,0.007703927492447105,0.0021838115248944074
TS2_M,0.006193353474320207,0.0008134690040988681
PS3_V,0.004682779456193354,0.002076695934270014
FS1_S,0.0037764350453171835,0.002054602795881501
PS1_V,0.0022658610271902857,0.0007552870090634656
TS1_M,0.0016616314199395243,0.0008134690040988681
TS3_M,0.0015105740181268422,0.0009553708943106807
PS3_M,0.0015105740181268201,0.0
TS4_M,0.0012084592145014672,0.0009063444108761143
FS1_M,0.0012084592145014561,0.0006042296072507281
FS1_K,0.0009063444108761032,0.0010020014472372594
TS2_S,0.0009063444108760921,0.0007400271126232833
PS6_M,0.0007552870090634211,0.0010133238568729955
FS1_V,0.0007552870090634101,0.0007552870090634101
VS1_M,0.0006042296072507281,0.0007400271126232833
PS2_V,0.00030211480362536404,0.0006042296072507281
CE_M,0.00015105740181268202,0.00045317220543804603
FS2_S,0.0,0.0
EPS1_K,0.0,0.0
EPS1_S,0.0,0.0
FS2_V,0.0,0.0
PS1_M,0.0,0.0
FS2_K,0.0,0.0
TS4_K,0.0,0.0
VS1_V,0.0,0.0
VS1_S,0.0,0.0
VS1_K,0.0,0.0
CE_V,0.0,0.0
CE_S,0.0,0.0
CE_K,0.0,0.0
CP_M,0.0,0.0
CP_V,0.0,0.0
CP_S,0.0,0.0
CP_K,0.0,0.0
SE_V,0.0,0.0
SE_S,0.0,0.0
EPS1_V,0.0,0.0
TS3_S,0.0,0.0
TS4_S,0.0,0.0
PS5_V,0.0,0.0
PS1_S,0.0,0.0
PS1_K,0.0,0.0
PS2_M,0.0,0.0
PS2_S,0.0,0.0
PS2_K,0.0,0.0
PS3_K,0.0,0.0
PS4_M,0.0,0.0
PS4_V,0.0,0.0
PS4_S,0.0,0.0
PS4_K,0.0,0.0
PS5_M,0.0,0.0
PS5_S,0.0,0.0
PS5_K,0.0,0.0
PS6_V,0.0,0.0
PS6_S,0.0,0.0
PS6_K,0.0,0.0
TS1_V,0.0,0.0
TS1_S,0.0,0.0
TS1_K,0.0,0.0
TS2_V,0.0,0.0
TS2_K,0.0,0.0
TS3_V,0.0,0.0
TS3_K,0.0,0.0
TS4_V,0.0,0.0
SE_K,0.0,0.0
SE_M,-0.0001510574018126931,0.0004531722054380793
EPS1_M,-0.00045317220543807937,0.0006922319780900258
