feature,importance_mean,importance_std
EPS1_V,0.34803625377643505,0.010980532837091396
PS1_V,0.18277945619335348,0.010530770427754297
PS2_V,0.15513595166163144,0.007401812688821754
TS4_M,0.13957703927492443,0.01164612402863831
CE_M,0.12900302114803625,0.008196169163897586
PS4_M,0.05211480362537765,0.005860170616698144
SE_M,0.03746223564954683,0.005000889836026242
SE_V,0.03700906344410874,0.004391070046449743
TS1_M,0.02794561933534743,0.006696120924260275
EPS1_M,0.01888217522658613,0.0038363822051964503
PS3_K,0.005891238670694843,0.0028219851498896367
PS1_M,0.004833836858006058,0.002509554037135369
PS4_S,0.001661631419939591,0.001057401812688809
PS4_K,0.0006042296072507614,0.0010020014472372826
TS4_K,0.00045317220543806825,0.0009672393107904585
TS2_M,0.0003021148036253862,0.0006042296072507724
CE_K,0.0,0.0
FS1_K,0.0,0.0
SE_S,0.0,0.0
CP_K,0.0,0.0
CP_S,0.0,0.0
EPS1_S,0.0,0.0
EPS1_K,0.0,0.0
FS1_M,0.0,0.0
FS1_V,0.0,0.0
FS1_S,0.0,0.0
FS2_V,0.0,0.0
FS2_M,0.0,0.0
CE_S,0.0,0.0
CP_V,0.0,0.0
FS2_S,0.0,0.0
FS2_K,0.0,0.0
VS1_M,0.0,0.0
VS1_V,0.0,0.0
VS1_K,0.0,0.0
CP_M,0.0,0.0
CE_V,0.0,0.0
VS1_S,0.0,0.0
TS3_S,0.0,0.0
TS4_S,0.0,0.0
PS5_K,0.0,0.0
PS1_S,0.0,0.0
PS1_K,0.0,0.0
PS2_M,0.0,0.0
PS2_S,0.0,0.0
PS2_K,0.0,0.0
PS3_M,0.0,0.0
PS3_V,0.0,0.0
PS3_S,0.0,0.0
PS4_V,0.0,0.0
PS5_M,0.0,0.0
PS5_V,0.0,0.0
PS5_S,0.0,0.0
PS6_M,0.0,0.0
TS4_V,0.0,0.0
PS6_V,0.0,0.0
PS6_S,0.0,0.0
PS6_K,0.0,0.0
TS1_V,0.0,0.0
TS1_S,0.0,0.0
TS1_K,0.0,0.0
TS2_V,0.0,0.0
TS2_S,0.0,0.0
TS2_K,0.0,0.0
TS3_M,0.0,0.0
TS3_V,0.0,0.0
TS3_K,0.0,0.0
SE_K,0.0,0.0
