feature,importance_mean,importance_std
CP_M,0.00045317220543807937,0.0006922319780900258
CE_M,0.00045317220543807937,0.0006922319780900258
EPS1_K,0.0,0.0
FS2_M,0.0,0.0
FS1_K,0.0,0.0
FS1_S,0.0,0.0
FS1_V,0.0,0.0
FS1_M,0.0,0.0
PS1_M,0.0,0.0
FS2_S,0.0,0.0
EPS1_S,0.0,0.0
EPS1_V,0.0,0.0
EPS1_M,0.0,0.0
TS4_K,0.0,0.0
TS4_S,0.0,0.0
TS4_V,0.0,0.0
FS2_V,0.0,0.0
VS1_M,0.0,0.0
FS2_K,0.0,0.0
PS1_V,0.0,0.0
VS1_V,0.0,0.0
VS1_S,0.0,0.0
VS1_K,0.0,0.0
CE_V,0.0,0.0
CE_S,0.0,0.0
CE_K,0.0,0.0
CP_V,0.0,0.0
CP_S,0.0,0.0
CP_K,0.0,0.0
SE_M,0.0,0.0
SE_V,0.0,0.0
SE_S,0.0,0.0
TS3_K,0.0,0.0
TS3_S,0.0,0.0
TS3_V,0.0,0.0
PS5_S,0.0,0.0
PS1_S,0.0,0.0
PS1_K,0.0,0.0
PS2_M,0.0,0.0
PS2_V,0.0,0.0
PS2_S,0.0,0.0
PS2_K,0.0,0.0
PS3_M,0.0,0.0
PS3_V,0.0,0.0
PS4_M,0.0,0.0
PS4_V,0.0,0.0
PS4_S,0.0,0.0
PS4_K,0.0,0.0
TS3_M,0.0,0.0
PS5_V,0.0,0.0
PS5_K,0.0,0.0
TS1_S,0.0,0.0
TS2_K,0.0,0.0
TS2_S,0.0,0.0
TS2_V,0.0,0.0
TS2_M,0.0,0.0
TS1_K,0.0,0.0
TS1_V,0.0,0.0
PS6_K,0.0,0.0
PS6_S,0.0,0.0
PS6_V,0.0,0.0
SE_K,0.0,0.0
PS3_S,-0.0006042296072507281,0.0007400271126232833
PS6_M,-0.0006042296072507281,0.0007400271126232833
PS3_K,-0.0006042296072507281,0.0007400271126232833
TS1_M,-0.0006042296072507281,0.0007400271126232833
PS5_M,-0.0006042296072507281,0.0007400271126232833
TS4_M,-0.0006042296072507281,0.0007400271126232833
