feature,importance_mean,importance_std
SE_V,0.4648036253776436,0.013100256674183564
EPS1_M,0.3901812688821752,0.011365501091224599
EPS1_V,0.3731117824773414,0.021223430561551022
PS1_V,0.2761329305135952,0.014966122146828796
PS2_V,0.20438066465256796,0.015567709360112389
CE_M,0.14229607250755288,0.008459214501510583
SE_M,0.05891238670694861,0.0035746705638064176
PS4_M,0.049093655589123854,0.0051114574971869225
TS2_M,0.02628398791540785,0.006961763517705703
TS1_M,0.023867069486404803,0.00543806646525679
TS3_M,0.021601208459214472,0.005734215376465949
TS4_M,0.020543806646525654,0.004064538987031308
PS1_M,0.013897280966767355,0.002220081337869948
PS2_M,0.009214501510574003,0.0025679758308157145
VS1_K,0.008459214501510548,0.0031829769646080867
PS3_K,0.002265861027190297,0.0024590363438217063
PS4_K,0.0021148036253776036,0.0022608201732773007
SE_K,0.0016616314199395133,0.00045317220543807937
TS4_K,0.001057401812688774,0.0006922319780899748
CP_K,0.00045317220543804603,0.0006922319780899748
FS1_V,0.00045317220543804603,0.0006922319780899748
TS3_S,0.00030211480362536404,0.0006042296072507281
PS6_M,0.00030211480362536404,0.0006042296072507281
FS2_M,0.00030211480362536404,0.0006042296072507281
PS5_M,0.00030211480362536404,0.0006042296072507281
CP_S,0.0003021148036253529,0.0009063444108761143
VS1_S,0.0003021148036253529,0.0016269380081977362
PS3_S,0.00015105740181268202,0.00045317220543804603
FS1_S,0.00015105740181268202,0.00045317220543804603
EPS1_K,0.00015105740181268202,0.00045317220543804603
TS1_K,0.00015105740181268202,0.00045317220543804603
PS4_V,0.0001510574018126709,0.0008134690040988538
CE_S,0.00015105740181265982,0.001057401812688809
CP_M,0.0,0.0
VS1_M,0.0,0.0
VS1_V,0.0,0.0
PS6_K,0.0,0.0
PS2_K,0.0,0.0
PS2_S,0.0,0.0
CE_V,0.0,0.0
TS2_S,0.0,0.0
FS2_S,0.0,0.0
CP_V,0.0,0.0
PS6_S,0.0,0.0
PS6_V,0.0,0.0
PS1_K,0.0,0.0
PS1_S,0.0,0.0
SE_S,0.0,0.0
FS2_K,0.0,0.0
FS2_V,0.0,0.0
TS2_K,0.0,0.0
PS5_V,0.0,0.0
TS3_V,0.0,0.0
TS3_K,0.0,0.0
TS2_V,0.0,0.0
TS4_V,0.0,0.0
TS4_S,0.0,0.0
PS3_V,0.0,0.0
PS5_S,0.0,0.0
PS3_M,0.0,0.0
EPS1_S,0.0,0.0
PS5_K,0.0,0.0
FS1_M,0.0,0.0
TS1_S,0.0,0.0
TS1_V,0.0,0.0
FS1_K,0.0,0.0
CE_K,-0.0003021148036253862,0.0006042296072507724
PS4_S,-0.0007552870090634656,0.0012178637082021911
