feature,importance_mean,importance_std
PS2_K,0.01404833836858006,0.003024922113972919
PS2_S,0.007250755287009081,0.0013168878983506507
SE_S,0.004682779456193375,0.0008134690040988908
SE_K,0.003776435045317217,0.0007552870090634656
PS2_M,0.001661631419939602,0.0008134690040988536
PS1_V,0.0015105740181269312,0.0
SE_V,0.001057401812688852,0.0006922319780900257
SE_M,0.0007552870090634656,0.0007552870090634656
PS2_V,0.0001510574018126931,0.0004531722054380793
FS1_K,0.0,0.0
TS3_K,0.0,0.0
TS4_M,0.0,0.0
TS4_V,0.0,0.0
TS4_S,0.0,0.0
TS4_K,0.0,0.0
EPS1_M,0.0,0.0
EPS1_V,0.0,0.0
FS1_V,0.0,0.0
FS1_S,0.0,0.0
VS1_M,0.0,0.0
FS2_M,0.0,0.0
FS2_V,0.0,0.0
FS2_S,0.0,0.0
TS3_M,0.0,0.0
CE_M,0.0,0.0
CE_S,0.0,0.0
CP_M,0.0,0.0
CP_V,0.0,0.0
CP_S,0.0,0.0
CP_K,0.0,0.0
TS3_V,0.0,0.0
TS3_S,0.0,0.0
TS2_K,0.0,0.0
PS6_V,0.0,0.0
PS3_M,0.0,0.0
PS3_V,0.0,0.0
PS4_M,0.0,0.0
PS4_V,0.0,0.0
PS5_V,0.0,0.0
PS5_S,0.0,0.0
PS6_M,0.0,0.0
PS5_M,0.0,0.0
TS2_M,0.0,0.0
PS6_S,0.0,0.0
TS1_M,0.0,0.0
TS1_V,0.0,0.0
CE_K,-0.0001510574018126931,0.0004531722054380793
PS3_S,-0.0001510574018126931,0.0004531722054380793
CE_V,-0.0001510574018126931,0.0004531722054380793
TS2_S,-0.0001510574018126931,0.0004531722054380793
PS4_S,-0.0001510574018126931,0.0004531722054380793
PS4_K,-0.0001510574018126931,0.0004531722054380793
TS2_V,-0.0001510574018126931,0.0004531722054380793
VS1_S,-0.0003021148036253862,0.0006042296072507724
FS1_M,-0.00045317220543807937,0.000967239310790488
FS2_K,-0.0006042296072507724,0.0007400271126233376
VS1_K,-0.001057401812688852,0.0006922319780900257
PS5_K,-0.0012084592145015448,0.0006042296072507725
PS6_K,-0.0012084592145015448,0.0006042296072507725
PS3_K,-0.001359516616314238,0.00045317220543807937
PS1_M,-0.001359516616314238,0.00045317220543807937
TS1_K,-0.001359516616314238,0.00045317220543807937
TS1_S,-0.001359516616314238,0.00045317220543807937
EPS1_K,-0.0015105740181269312,0.0
VS1_V,-0.0015105740181269312,0.0
PS1_K,-0.0015105740181269312,0.0
PS1_S,-0.0015105740181269312,0.0
EPS1_S,-0.0015105740181269312,0.0
